S No,Hotel_Name,Location,Country,Theme,Max_people,Rating,Rate_Card,Booking_link
1,The Luxury Collection Hotels & Resorts,Hyderabad,INDIA,Pixel Trotter,2,4,4500,'https://www.agoda.com/?cid=1844104' 
2,Marriott,Hyderabad,INDIA,Foodiee,5,3,3800,'https://www.agoda.com/?cid=1844104' 
3,Regency Hotel,Pune,INDIA,Shopping,2,4,5500,'https://www.agoda.com/?cid=1844104' 
4,Hilton Walt Disney World,Vishakapatanam,INDIA,Culture Enthusiast,1,5,3300,'https://www.agoda.com/?cid=1844104' 
5,Disney’s Wilderness Lodge,Tamilnadu,INDIA,Foodiee,2,3,1800,'https://www.agoda.com/?cid=1844104' 
6,Disney’s Yacht Club Resort,Pune,INDIA,Shopping,3,5,8000,'https://www.agoda.com/?cid=1844104' 
7,Mandarin Oriental,Hyderabad,INDIA,Shopping,2,5,5400,'https://www.agoda.com/?cid=1844104' 
8,Four Seasons Hotel,Tamilnadu,INDIA,Culture Enthusiast,3,3,3900,'https://www.agoda.com/?cid=1844104' 
9,Residence Inn by Marriott,Noida,INDIA,Shopping,2,5,2900,'https://www.agoda.com/?cid=1844104' 
10,El Rancho Casino,Pune,INDIA,Pixel Trotter,4,2,3860,'https://www.agoda.com/?cid=1844104' 
11,Clarion Hotel and Casino,Noida,INDIA,Adventure,3,5,5450,'https://www.agoda.com/?cid=1844104' 
12,Continental Hotel and Casino,Tamilnadu,INDIA,Shopping,4,3,2340,'https://www.agoda.com/?cid=1844104' 
13,Cosmopolitan of Las Vegas,Vishakapatanam,INDIA,Adventure,3,2,4390,'https://www.agoda.com/?cid=1844104' 
14,Waldorf Astoria Hotels & Resorts,Noida,INDIA,Pixel Trotter,3,3,3980,'https://www.agoda.com/?cid=1844104' 
15,Ritz Plaza Hotel,Noida,INDIA,Shopping,2,4,4390,'https://www.agoda.com/?cid=1844104' 
16,W Hotel,Hyderabad,INDIA,Culture Enthusiast,2,2,1890,'https://www.agoda.com/?cid=1844104' 
17,Yosemite Lodge at the Falls,Tamilnadu,INDIA,Adventure,4,3,1280,'https://www.agoda.com/?cid=1844104' 
18,St Regis Hotels,Tamilnadu,INDIA,Adventure,2,5,1460,'https://www.agoda.com/?cid=1844104' 
19,Hyatt,Tamilnadu,INDIA,Culture Enthusiast,4,4,1590,'https://www.agoda.com/?cid=1844104' 
20,DuPont Plaza Hotel,Hyderabad,INDIA,Adventure,4,2,1390,'https://www.agoda.com/?cid=1844104' 
21,Antlers Hilton Hotel,Vishakapatanam,INDIA,Adventure,5,3,1840,'https://www.agoda.com/?cid=1844104' 
22,The Stanley Hotel,Pune,INDIA,Pixel Trotter,4,4,1960,'https://www.agoda.com/?cid=1844104' 
23,Hotel Bond,Noida,INDIA,Shopping,5,3,2980,'https://www.agoda.com/?cid=1844104' 
24,Hollywood Plaza Hotel,Noida,INDIA,Shopping,3,4,6790,'https://www.agoda.com/?cid=1844104' 
25,Fort Harrison Hotel,Pune,INDIA,Culture Enthusiast,5,3,4770,'https://www.agoda.com/?cid=1844104' 
26,Ahwahnee Hotel,Vishakapatanam,INDIA,Adventure,3,4,4790,'https://www.agoda.com/?cid=1844104' 
27,Belmond,Vishakapatanam,INDIA,Pixel Trotter,4,3,3850,'https://www.agoda.com/?cid=1844104' 
28,Rosewood Hotels & Resorts,Pune,INDIA,Foodiee,3,4,2740,'https://www.agoda.com/?cid=1844104' 
29,Aman Resorts,Noida,INDIA,Adventure,2,5,2970,'https://www.agoda.com/?cid=1844104' 
30,The Peninsula Chicago,Hyderabad,INDIA,Foodiee,1,4,1850,'https://www.agoda.com/?cid=1844104' 
31,SleepyCrew Hub,Vishakapatanam,INDIA,Culture Enthusiast,4,4,1780,'https://www.agoda.com/?cid=1844104' 
32,Gotham Hotel,pune,INDIA,Adventure,3,3,1590,'https://www.agoda.com/?cid=1844104' 
33,Giggle Resort,Noida,INDIA,Foodiee,2,4,2590,'https://www.agoda.com/?cid=1844104' 
34,The Enchanted Garden,Hyderabad,INDIA,Adventure,1,3,2840,'https://www.agoda.com/?cid=1844104' 
35,Hotel Lemonade,Pune,INDIA,Shopping,5,4,4790,'https://www.agoda.com/?cid=1844104' 
36,Hotel Joy Stick,Pune,INDIA,Culture Enthusiast,3,4,4270,'https://www.agoda.com/?cid=1844104' 
37,Breeze Blows Hotel,Tamilnadu,INDIA,Foodiee,1,3,3870,'https://www.agoda.com/?cid=1844104' 
38,Wordly Traveller Hotel,Vishakapatanam,INDIA,Pixel Trotter,5,4,2860,'https://www.agoda.com/?cid=1844104' 
39,Cable Car Hotel,Hyderabad,INDIA,Adventure,2,4,9590,'https://www.agoda.com/?cid=1844104' 
40,Hotel Vitality,Noida,INDIA,Foodiee,5,5,9670,'https://www.agoda.com/?cid=1844104' 
41,Land’s End Resort,Tamilnadu,INDIA,Shopping,5,3,6380,'https://www.agoda.com/?cid=1844104' 
42,Walkabout Beach Hotel,Hyderabad,INDIA,Adventure,2,5,8240,'https://www.agoda.com/?cid=1844104' 
43,Familiar Inn,Noida,INDIA,Foodiee,1,3,3590,'https://www.agoda.com/?cid=1844104' 
44,Sun and Sand Hotel,Hyderabad,INDIA,Pixel Trotter,3,5,5360,'https://www.agoda.com/?cid=1844104' 
45,The Better Inn,Pune,INDIA,Culture Enthusiast,3,3,8690,'https://www.agoda.com/?cid=1844104' 
46,Hotel Fusion,Tamilnadu,INDIA,Shopping,5,4,3890,'https://www.agoda.com/?cid=1844104' 
47,The Enchanted Garden,Noida,INDIA,Pixel Trotter,1,3,4890,'https://www.agoda.com/?cid=1844104' 
48,The Welcome Mat,Hyderabad,INDIA,Adventure,4,1,3470,'https://www.agoda.com/?cid=1844104' 
49,Priority Hospitality,Vishakapatanam,INDIA,Culture Enthusiast,3,2,7850,'https://www.agoda.com/?cid=1844104' 
50,Country Charm Hotel,Vishakapatanam,INDIA,Foodiee,2,4,3850,'https://www.agoda.com/?cid=1844104' 
